Assists,Goal_Shot_Ratio,Goals,MVPs,Player_name,Rank,Saves,Shots,TRN_Score,Wins
"11,219",47.1,"36,140","5,619",sukrex,2661,"28,123","76,856","134,116.80","11,253"
"9,472",53,"36,154","3,365",TheBlaqkPlague,2656,"18,240","68,216","175,201.90","11,174"
"10,132",49.1,"36,155","4,423",GolferDJ,2655,"17,166","74,016","174,666.50","10,388"
"10,694",49,"36,137","5,109",JC.Velli,2663,"20,124","73,822","245,760.60","10,497"
"14,855",45.8,"36,157","6,910",Dryv3r29,2654,"26,929","78,879","264,281.30","16,140"
"5,500",56.4,"36,151",921,Athena,2657,"16,221","64,085","246,876.70","8,897"
52,60.9,"36,158",81,UncertainTie,2652,"11,288","59,585","73,629.20","4,588"
"4,784",57.5,"36,140","1,511",JesterCZ,2661,"15,754","62,917","70,882.40","8,628"
"10,513",46,"36,146","6,473",Lerky,2659,"23,504","78,613","215,594.60","10,204"
"16,499",47.1,"36,158","6,459",> heer'phemer,2652,"30,284","76,761","151,084.90","16,976"
"11,322",49.5,"36,163","6,217",****,2651,"21,177","73,187","327,402.80","12,815"
"18,882",40.6,"36,168","7,181",Sil,2650,"37,207","89,280","249,125.60","13,987"
224,61.4,"36,169",156,CKY Kraid,2649,"16,768","59,181","117,967.10","4,991"
"14,708",44.4,"36,149","7,427",Snowy,2658,"27,619","81,413","331,899.70","14,260"
"14,464",44.8,"36,146","7,022",Matt,2659,"29,498","80,767","265,652.30","13,661"
"14,154",45.5,"36,170","7,074",Humble,2648,"29,289","79,624","193,169.10","13,239"
"15,730",48.7,"36,173","7,064",Penfret,2646,"22,867","74,304","217,430.90","14,017"
"11,838",48.4,"36,175","5,209",Jake,2645,"25,934","74,756","246,075.80","10,698"
"13,282",44.6,"36,191","6,002",Peep,2643,"35,305","81,060","305,393.30","12,629"
"5,304",57.8,"36,180","2,563",el pudu maravilla,2644,"17,124","62,594","196,096.40","8,763"
152,63.1,"36,194",63,PeteD-S,2642,"16,391","57,367",0,"4,609"
"6,141",52.1,"36,195","2,638",PoQx,2641,"22,925","69,483",0,"8,134"
"13,362",44.5,"36,133","7,586",I-BOSSHOGG-I,2664,"26,302","81,229","162,414.60","13,296"
"12,118",49.9,"36,196","7,756",Rouk,2640,"18,144","72,711","108,399.10","12,974"
"13,625",45.5,"36,197","6,341",Dicky,2639,"26,265","79,516","12,375.90","10,582"
"10,913",55.5,"36,200","6,392",~{EnterZen}~,2638,"25,121","65,218","182,745.00","16,501"
"11,213",56.6,"36,201","5,866",HaroldVleertje,2636,"14,396","65,321","1,083,574.00","12,284"
"15,098",48.2,"36,202","6,495",NEOFYTER,2634,"31,844","75,115","215,818.70","13,224"
"16,299",43.6,"36,202","7,813",hotshott,2634,"32,599","83,038","160,041.10","15,509"
"21,832",41.8,"36,206","7,477",luckystew,2633,"28,416","86,523","19,558.40","17,322"
"9,983",45.8,"36,207","4,359",indifferentspleen,2632,"29,196","79,151","238,267.50","10,475"
"17,215",44.6,"36,209","6,444",cobeTHEBEaST,2631,"30,969","81,265","95,518.60","14,975"
"13,363",49.7,"36,211","5,584",zeroiner,2629,"20,110","75,026","233,761.20","13,408"
"12,840",43.8,"36,211","5,020",Slepy,2629,"34,673","82,739","304,892.30","12,662"
"13,602",46.4,"36,215","6,423",momak0c,2628,"31,835","77,986","283,960.50","13,059"
"13,921",48.9,"36,216","5,758",Nidmight,2627,"24,311","74,607","50,400.50","13,265"
"10,342",52,"36,220","2,709",Lfo_Horse,2625,"19,821","70,396","173,163.60","12,300"
"17,613",42.6,"36,220","7,380",DutchTacticalOpr,2625,"27,760","85,158","133,262.30","15,035"
"8,380",49.5,"36,221","4,836",dnbxfather,2624,"23,027","73,202",0,"11,960"
"9,385",53,"36,226","4,211",Batman,2623,"21,012","68,406","1,026.90","10,509"
"11,340",44,"36,227","6,453",Benjamin der liebe Elofant,2622,"27,210","82,411","227,923.90","12,341"
"14,596",51.7,"36,228","6,969",yeheyes,2620,"17,579","70,295","323,255.70","13,713"
"9,932",61.1,"36,228","4,157",Bronze 1 deamon,2620,"7,366","59,710","68,556.50","10,736"
"14,789",40.7,"36,235","7,322",arafar,2619,"37,867","88,962","259,040.60","13,171"
"1,646",62,"36,237",781,GTA-faya,2618,"14,194","59,164","589,951.00","6,577"
"6,731",57.4,"36,239","5,104",TheKid2015,2617,"6,609","63,431","141,966.00","7,712"
828,60.9,"36,242",653,alden_m_,2616,"11,303","59,868","18,596.50","4,883"
